,place_name,price_aprox_usd,surface_covered_in_m2,price_usd_per_m2,rooms_compuesta,amenitie_balcon,amenitie_cochera,amenitie_parrilla,amenitie_pileta,amenitie_amoblado,estrenar,lat,lon
320,Caballito,64500.0,25.0,2303.5714285714284,1.0,1,0,0,0,0,1,-34.6064821857,-58.45840488050001
325,Caballito,91000.0,37.0,2166.6666666666665,1.0,1,1,1,0,0,1,-34.609806299999995,-58.4547167
327,Palermo,179000.0,61.0,2557.142857142857,2.0,1,0,0,0,0,1,-34.5902428799,-58.4364018732
330,Caballito,355000.0,178.0,1775.0,5.0,1,1,0,0,0,0,-34.6040507,-58.4324956
361,Belgrano,520000.0,130.0,3466.666666666666,2.0,1,1,1,1,0,0,-34.57478820000001,-58.46376850000001
384,Palermo,379900.0,175.0,2170.8571428571427,2.0,1,1,0,0,0,0,-34.584641,-58.411582
385,Palermo,95000.0,43.0,2209.3023255813955,2.0,0,0,0,0,0,0,-34.58489,-58.419
391,Belgrano,117000.0,44.0,2659.090909090909,2.0,0,0,1,0,0,0,-34.562043,-58.461685
469,Caballito,65500.0,25.0,2339.285714285714,1.0,1,0,0,0,0,1,-34.6209278,-58.44587360000001
478,Palermo,310000.0,100.0,2924.528301886793,2.0,1,1,0,0,0,0,-34.571149600000005,-58.4232966
554,Palermo,155000.0,37.0,3604.6511627906975,1.0,1,0,0,1,0,1,-34.5927419,-58.406147
555,Palermo,245000.0,51.0,3266.666666666666,1.0,1,0,0,1,0,1,-34.5927419,-58.406147
648,Caballito,158000.0,62.0,2225.3521126760565,3.0,0,0,0,0,0,0,-34.6259473144,-58.4328219442
650,Belgrano,585000.0,185.0,1924.342105263158,3.0,1,1,1,0,0,0,-34.572860247,-58.4396162589
651,Belgrano,585000.0,185.0,1924.342105263158,3.0,1,1,1,0,0,0,-34.572860247,-58.4396162589
653,Palermo,465000.0,140.0,2924.528301886793,4.0,1,1,0,0,0,0,-34.5803723,-58.4143806
654,Palermo,185000.0,33.0,5138.88888888889,2.0,1,1,0,0,0,0,-34.57154091,-58.4321322175
705,Belgrano,360000.0,143.0,2448.9795918367345,3.0,0,0,0,0,0,0,-34.5499217064,-58.4508016024
706,Belgrano,1450000.0,286.0,3131.7494600431964,4.0,0,1,0,0,0,0,-34.5639829756,-58.45013017300001
766,Palermo,375000.0,137.0,2737.2262773722628,3.0,1,0,0,0,0,0,-34.589059000000006,-58.410881
933,Palermo,134000.0,30.0,3941.176470588234,1.0,0,1,0,1,0,0,-34.5810409,-58.40622140000001
935,Palermo,1080000.0,191.0,5427.13567839196,3.0,1,1,0,1,0,0,-34.5731105,-58.4224486
999,Belgrano,307650.0,84.0,3418.333333333333,3.0,0,1,1,1,0,0,-34.5606643,-58.44220870000001
1000,Belgrano,385014.0,84.0,4277.933333333333,3.0,0,1,1,1,0,0,-34.5606643,-58.44220870000001
1001,Belgrano,587895.0,120.0,4199.25,3.0,0,1,1,1,0,0,-34.5606643,-58.44220870000001
1002,Belgrano,506468.0,100.0,4604.254545454545,3.0,0,1,1,1,0,0,-34.5606643,-58.44220870000001
1022,Belgrano,438000.0,121.0,3369.230769230769,4.0,1,1,0,0,0,0,-34.571845399999994,-58.43273170000001
1213,Caballito,95000.0,29.0,2375.0,1.0,1,0,1,1,0,1,-34.606658797600005,-58.4488776741
1224,Caballito,245000.0,95.0,2378.6407766990287,4.0,1,1,0,0,0,0,-34.6184909411,-58.437848430600006
